ruleId,stationId,deviceId,deviceSn,level,code,showName,startTime,addr,influence,deviceType
18627,60551410,223561340,SQ1021080KE22B300010,0,1,002 Grid Undervoltage,2025-06-17 08:37:02,ERR1,1,INVERTER
18629,60551410,223561340,SQ1021080KE22B300010,0,3,004 Grid Underfrequency,2025-06-17 08:02:33,ERR1,1,INVERTER
18635,60551410,223561340,SQ1021080KE22B300010,2,9,010 Grid Voltage Instantaneous Value Overvoltage 2,2025-06-16 00:38:04,ERR1,1,INVERTER
18697,60551410,223561340,SQ1021080KE22B300010,0,1,114 Frequency Derating,2025-03-31 12:38:58,ERR8,1,INVERTER
18629,60551410,223561340,SQ1021080KE22B300010,0,3,004 Grid Underfrequency,2025-03-25 13:29:56,ERR1,1,INVERTER
18627,60551410,223561340,SQ1021080KE22B300010,0,1,002 Grid Undervoltage,2025-03-25 13:29:56,ERR1,1,INVERTER
18626,60551410,223561340,SQ1021080KE22B300010,2,0,001 Grid Overvoltage,2025-03-23 07:36:21,ERR1,1,INVERTER
18697,60551410,223561340,SQ1021080KE22B300010,0,1,114 Frequency Derating,2024-12-31 10:42:46,ERR8,1,INVERTER
18635,60551410,223561340,SQ1021080KE22B300010,2,9,010 Grid Voltage Instantaneous Value Overvoltage 2,2024-12-17 06:27:17,ERR1,1,INVERTER
18627,60551410,223561340,SQ1021080KE22B300010,0,1,002 Grid Undervoltage,2024-12-17 06:15:44,ERR1,1,INVERTER
